audio_tag,sound,source,quality
man laughs,laugh,man,
man on pa,,pa,
man shouting indistinctly,shout,man,indistinctly
man shouts,shout,man,
man speaking indistinctly,speak,man,indistinctly
man speaking spanish,speak,man,
man whistling,whistle,man,
man yelling,yell,man,
man yells,yell,man,
max barking,bark,max,
men cheering,cheer,men,
men clamoring,clamor,men,
men murmuring,murmur,men,
men speaking indistinctly,speak,men,indistinctly
men talking indistinctly,talk,men,indistinctly
meowing,meow,,
metal clanging,clang,metal,
metal clangs,clang,metal,
metal clanking,clank,metal,
muffled grunt,grunt,,muffled
muffled scream,scream,,muffled
muffled screams,scream,,muffled
muffled shouting,shout,,muffled
music playing on radio,music,radio,
music resumes,music,,
neighs,neigh,,
nervous chuckle,chuckle,,nervous
officers shouting,shout,officer,
on computer,,computer,
on speaker,,speaker,
on speakers,,speaker,
organ playing,music,organ,
panicked chatter,chatter,,panicked
panicked shouting,shout,,panicked
panting continues,pant,,
people exclaiming,exclaim,people,
people gasp,gasp,people,
people talking indistinctly,talk,people,indistinctly
phone beeping,beep,phone,
phone buzzes,buzz,phone,
phone dings,ding,phone,
phone vibrates,vibrate,phone,
phone vibrating,vibrate,phone,
photographers clamoring,clamor,photographer,
piano,music,piano,
players shouting,shout,player,
police radio chattering,chatter,radio,
pounding,pound,,
pounding continues,pound,,
r&b music playing,music,,
radio chatter,chatter,radio,
radio static,static,radio,
rap music playing,music,,
retches,retch,,
rifle cocks,cock,rifle,
running footsteps,footstep,,running
scattered applause,applause,,scattered
scoffing,scoff,,
ship horn blowing,blow,ship horn,
shouting in german,shout,,
shouting in japanese,shout,,
shouting in spanish,shout,,
shouting indistinctly,shout,,indistinctly
shuddering breaths,breath,,shuddering
sighs in relief,sigh,,
sighs softly,sigh,,softly
silenced gunshot,gunshot,,silenced
silenced gunshots,gunshot,,silenced
singing along,sing,,
siren wails,wail,siren,
sirens approaching,,siren,approaching
slow soft music,music,,slow;soft
snapping,snap,,
snoring continues,snore,,
sobbing continues,sob,,
soft chuckle,chuckle,,soft
soldiers screaming,scream,soldier,
soldiers shouting indistinctly,shout,soldier,indistinctly
soldiers yelling,yell,soldier,
song fades,song,,fade
song playing,song,,
speaking alien dialect,speak,,
speaking hindi,speak,,
speaking in alien language,speak,,
speaking in italian,speak,,
speaking in solutrean,speak,,
speaking native language,speak,,
speaking other language,speak,,
speaking swahili,speak,,
speaks alien language,speak,,
speaks german,speak,,
speaks hindi,speak,,
speaks in foreign language,speak,,
speaks in italian,speak,,
speaks in solutrean,speak,,
speaks in spanish,speak,,
speaks italian,speak,,
speaks japanese,speak,,
speaks mandarin,speak,,
speaks other language,speak,,
speaks xhosa,speak,,
sputtering,sputter,,
sputters,sputter,,
static crackling,crackle,static,
steam hissing,hiss,steam,
students laugh,laugh,student,
students murmuring,murmur,student,
suspenseful music playing,music,,suspenseful
talking indistinctly,talk,,indistinctly
tense music,music,,tense
thudding continues,thud,,
thunder cracking,crack,thunder,
tires souealing,squeal,tire,
tony grunts,grunt,tony,
train horn blaring,blare,train horn,
train horn blowing,blow,train horn,
train horn blows,blow,train horn,
train whistle blows,whistle,train,
tv playing,,tv,
tv playing indistinctly,,tv,indistinctly
twig snaps,snap,twig,
urges horse,urges,,
vibrating,vibrate,,
vocalizes,vocalize,,
water dripping,drip,water,
water splashing,splash,water,
whinnying,whinny,,
whirring stops,whir,,stop
wind continues whistling,whistle,wind,
wind gusting,gust,wind,
woman gasps,gasp,woman,
woman laughing,laugh,woman,
woman laughs,laugh,woman,
woman singing,sing,woman,
woman sobbing,sob,woman,
women cheering,cheer,woman,
women screaming,scream,woman,
wood creaking,creak,wood,
yawning,yawn,,
